,State Name,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,percapita_2015,percapita_2016,percapita_2017,percapita_2018,percapita_2019,percapita_2020,percapita_2021,personal_consumption_2015,personal_consumption_2016,personal_consumption_2017,personal_consumption_2018,personal_consumption_2019,personal_consumption_2020,personal_consumption_2021
15,Kansas,2911641,2907289,2913123,2911510,2913314,2935880,2934582,150516.3,155724.9,156129.3,159605.0,160158.1,160115.5,164188.6,0.051694662906587724,0.05356361201105222,0.05359516230519617,0.05481863362997207,0.05497454102098161,0.0545374810959576,0.055949569649101645,8702.9,8914.3,9170.9,9372.5,9623.9,10506.2,11249.1
16,Kentucky,4425092,4436974,4454189,4468402,4467673,4503958,4509394,183506.2,185606.5,187537.8,188785.2,195327.2,193208.6,200380.8,0.04146946549359878,0.0418317754397479,0.04210369160356689,0.04224892925927435,0.043720120071455544,0.04289751369795189,0.04443630341460515,13297.6,13746.5,14322.2,14491.0,14589.6,15742.9,16699.5
17,Louisiana,4670724,4681666,4684333,4659978,4648794,4651203,4624047,230277.4,229296.3,234204.4,237247.9,236064.5,216989.5,222530.2,0.0493022923212761,0.048977500744393124,0.04999738489983526,0.050911806879774965,0.05077972910823753,0.0466523391905277,0.04812455409730913,12969.7,13158.9,13348.7,13525.2,13709.5,14785.8,16121.0
18,Maine,1329328,1331479,1335907,1338404,1344212,1362280,1372247,54973.2,56079.2,57038.1,58151.1,60514.5,62126.8,64675.9,0.041354127799910934,0.04211797557453027,0.042696160735739834,0.043448091906479656,0.045018568499611666,0.045605015121707726,0.04713138378149123,4493.1,4591.7,4781.9,4967.7,5205.8,5739.3,6174.0
19,Maryland,6006401,6016447,6052177,6042718,6045680,6172679,6165129,351555.2,364142.9,369957.1,368097.7,369768.6,357768.0,372262.5,0.058530091480738636,0.06052457538477444,0.06112793793043395,0.0609159156525259,0.061162449881568326,0.05795992307391977,0.06038194821227585,16423.4,16539.7,16912.5,17171.0,17383.1,18734.4,20129.7
20,Massachusetts,6794422,6811779,6859819,6902149,6892503,7022220,6984723,472610.4,477504.6,490065.8,504956.7,517765.4,514511.0,544645.6,0.06955858791226097,0.07009983735526358,0.07144004819952246,0.07315934500979333,0.07512008337174464,0.07326899470537807,0.07797669284809147,23041.4,23632.2,24827.2,25265.3,26022.2,27816.0,29483.4
21,Michigan,9922576,9928300,9962311,9995915,9986857,10067664,10050811,446208.4,455780.7,461463.8,463964.3,468731.7,464365.7,487700.9,0.04496900804791014,0.045907224801829113,0.04632095906261107,0.04641539068709568,0.04693485648187413,0.046124473363433664,0.04852353705586544,27613.7,28701.0,30196.9,30937.9,31818.1,34566.2,36522.7
22,Minnesota,5489594,5519952,5576606,5611179,5639632,5707165,5707390,320934.4,327150.2,328712.3,339384.7,343067.7,335935.5,350521.5,0.05846231979997064,0.059266855943674875,0.05894486718265554,0.060483670187673574,0.06083157553542501,0.05886206198699354,0.06141537550438992,15122.1,15228.3,15554.8,16076.6,16339.4,17478.6,18342.5
23,Mississippi,2992333,2988726,2984100,2986530,2976149,2956870,2949965,100660.9,101285.0,101069.1,100375.6,102481.5,103007.9,104397.6,0.033639604950384865,0.033889021609876585,0.0338692067960189,0.033609439717665654,0.03443426387590137,0.03483680378237799,0.035389436823826725,7889.2,7972.8,8151.6,8335.5,8557.9,9353.7,9723.1
24,Missouri,6083672,6093000,6113532,6126452,6137428,6154481,6168187,277194.9,281090.2,283124.1,285687.8,292216.5,289622.0,298414.3,0.0455637483414622,0.04613330050878057,0.04631105226896661,0.04663185151862775,0.04761220824097651,0.04705872030476656,0.04837958058016075,15938.0,16283.1,16733.9,17101.8,17497.5,18942.5,20312.2
25,Montana,1032949,1042520,1050493,1062305,1068778,1086193,1104271,44856.0,45173.6,45836.8,46497.0,47155.5,48179.4,49972.5,0.04342518362474817,0.04333115911445344,0.04363360822014045,0.043769915419771155,0.044120949345888484,0.04435620557304273,0.045253837146859786,3426.0,3449.7,3518.1,3663.1,3760.9,4048.5,4384.7
26,Nebraska,1896190,1907116,1920076,1929268,1934408,1961455,1963692,111822.4,114505.7,115384.1,117403.9,120759.9,121926.3,122537.7,0.05897214941540668,0.06004128747281235,0.060093506715359186,0.06085411669089001,0.06242731626420073,0.06216115077837626,0.06240169028544191,5258.4,5420.3,5555.9,5695.6,5851.6,6368.7,6828.2
